feature_number,old_column_name,new_column_name,feature_group,meaning,note
15,edge_texture_feature_015,feature_015_face_boundary,Edge / Texture,face boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
16,edge_texture_feature_016,feature_016_hand_boundary,Edge / Texture,hand boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
17,edge_texture_feature_017,feature_017_background_texture,Edge / Texture,background texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
18,edge_texture_feature_018,feature_018_foreground_texture,Edge / Texture,foreground texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
19,edge_texture_feature_019,feature_019_repeated_line_pattern,Edge / Texture,repeated line pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
20,edge_texture_feature_020,feature_020_curved_edge,Edge / Texture,curved edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
21,edge_texture_feature_021,feature_021_straight_edge,Edge / Texture,straight edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
22,edge_texture_feature_022,feature_022_frame_detail,Edge / Texture,frame detail,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
23,edge_texture_feature_023,feature_023_local_pattern,Edge / Texture,local pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
24,edge_texture_feature_024,feature_024_high_texture_region,Edge / Texture,high texture region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
25,edge_texture_feature_025,feature_025_low_texture_region,Edge / Texture,low texture region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
26,edge_texture_feature_026,feature_026_shadow_boundary,Edge / Texture,shadow boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
27,edge_texture_feature_027,feature_027_lighting_edge,Edge / Texture,lighting edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
28,edge_texture_feature_028,feature_028_motion_blur_cue,Edge / Texture,motion blur cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
29,edge_texture_feature_029,feature_029_camera_focus_cue,Edge / Texture,camera focus cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
30,edge_texture_feature_030,feature_030_object_contour,Edge / Texture,object contour,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
31,edge_texture_feature_031,feature_031_human_contour,Edge / Texture,human contour,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
32,edge_texture_feature_032,feature_032_scene_contour,Edge / Texture,scene contour,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
33,edge_texture_feature_033,feature_033_rough_background,Edge / Texture,rough background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
34,edge_texture_feature_034,feature_034_clean_background,Edge / Texture,clean background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
35,edge_texture_feature_035,feature_035_fine_detail,Edge / Texture,fine detail,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
36,edge_texture_feature_036,feature_036_coarse_detail,Edge / Texture,coarse detail,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
37,edge_texture_feature_037,feature_037_small_shape_edge,Edge / Texture,small shape edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
38,edge_texture_feature_038,feature_038_large_shape_edge,Edge / Texture,large shape edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
39,edge_texture_feature_039,feature_039_crowd_texture,Edge / Texture,crowd texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
40,edge_texture_feature_040,feature_040_clothing_texture,Edge / Texture,clothing texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
41,edge_texture_feature_041,feature_041_floor_texture,Edge / Texture,floor texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
42,edge_texture_feature_042,feature_042_wall_texture,Edge / Texture,wall texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
43,edge_texture_feature_043,feature_043_skin_tone_boundary,Edge / Texture,skin-tone boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
44,edge_texture_feature_044,feature_044_hair_boundary,Edge / Texture,hair boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
45,edge_texture_feature_045,feature_045_object_surface,Edge / Texture,object surface,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
46,edge_texture_feature_046,feature_046_scene_surface,Edge / Texture,scene surface,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
47,edge_texture_feature_047,feature_047_visual_clutter,Edge / Texture,visual clutter,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
48,edge_texture_feature_048,feature_048_empty_region,Edge / Texture,empty region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
49,edge_texture_feature_049,feature_049_high_frequency_pattern,Edge / Texture,high-frequency pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
50,edge_texture_feature_050,feature_050_low_frequency_pattern,Edge / Texture,low-frequency pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
51,edge_texture_feature_051,feature_051_thin_line_pattern,Edge / Texture,thin line pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
52,edge_texture_feature_052,feature_052_thick_line_pattern,Edge / Texture,thick line pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
53,edge_texture_feature_053,feature_053_edge_density,Edge / Texture,edge density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
54,edge_texture_feature_054,feature_054_texture_density,Edge / Texture,texture density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
55,edge_texture_feature_055,feature_055_boundary_strength,Edge / Texture,boundary strength,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
56,edge_texture_feature_056,feature_056_weak_boundary,Edge / Texture,weak boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
57,edge_texture_feature_057,feature_057_strong_boundary,Edge / Texture,strong boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
58,edge_texture_feature_058,feature_058_shape_boundary,Edge / Texture,shape boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
59,edge_texture_feature_059,feature_059_background_edge,Edge / Texture,background edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
60,edge_texture_feature_060,feature_060_foreground_edge,Edge / Texture,foreground edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
61,edge_texture_feature_061,feature_061_face_texture,Edge / Texture,face texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
62,edge_texture_feature_062,feature_062_body_texture,Edge / Texture,body texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
63,edge_texture_feature_063,feature_063_object_texture,Edge / Texture,object texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
64,edge_texture_feature_064,feature_064_scene_texture,Edge / Texture,scene texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
65,edge_texture_feature_065,feature_065_repeated_texture,Edge / Texture,repeated texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
66,edge_texture_feature_066,feature_066_irregular_texture,Edge / Texture,irregular texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
67,edge_texture_feature_067,feature_067_uniform_texture,Edge / Texture,uniform texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
68,edge_texture_feature_068,feature_068_rough_clothing_pattern,Edge / Texture,rough clothing pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
69,edge_texture_feature_069,feature_069_smooth_clothing_pattern,Edge / Texture,smooth clothing pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
70,edge_texture_feature_070,feature_070_lighting_contrast,Edge / Texture,lighting contrast,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
71,edge_texture_feature_071,feature_071_dark_region_cue,Edge / Texture,dark region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
72,edge_texture_feature_072,feature_072_bright_region_cue,Edge / Texture,bright region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
73,edge_texture_feature_073,feature_073_mid_tone_region_cue,Edge / Texture,mid-tone region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
74,edge_texture_feature_074,feature_074_color_transition_edge,Edge / Texture,color transition edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
75,edge_texture_feature_075,feature_075_gray_level_texture,Edge / Texture,gray-level texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
76,edge_texture_feature_076,feature_076_frame_noise_texture,Edge / Texture,frame noise texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
77,edge_texture_feature_077,feature_077_low_quality_texture,Edge / Texture,low-quality texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
78,edge_texture_feature_078,feature_078_high_quality_texture,Edge / Texture,high-quality texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
79,edge_texture_feature_079,feature_079_sharp_object_border,Edge / Texture,sharp object border,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
80,edge_texture_feature_080,feature_080_soft_object_border,Edge / Texture,soft object border,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
81,edge_texture_feature_081,feature_081_hard_shadow_edge,Edge / Texture,hard shadow edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
82,edge_texture_feature_082,feature_082_soft_shadow_edge,Edge / Texture,soft shadow edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
83,edge_texture_feature_083,feature_083_surface_pattern_cue,Edge / Texture,surface pattern cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
84,edge_texture_feature_084,feature_084_fine_grain_texture,Edge / Texture,fine grain texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
85,edge_texture_feature_085,feature_085_coarse_grain_texture,Edge / Texture,coarse grain texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
86,edge_texture_feature_086,feature_086_wall_edge_pattern,Edge / Texture,wall-edge pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
87,edge_texture_feature_087,feature_087_floor_edge_pattern,Edge / Texture,floor-edge pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
88,edge_texture_feature_088,feature_088_room_line_structure,Edge / Texture,room-line structure,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
89,edge_texture_feature_089,feature_089_outdoor_line_structure,Edge / Texture,outdoor-line structure,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
90,edge_texture_feature_090,feature_090_human_object_boundary,Edge / Texture,human-object boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
91,edge_texture_feature_091,feature_091_person_background_boundary,Edge / Texture,person-background boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
92,edge_texture_feature_092,feature_092_object_background_boundary,Edge / Texture,object-background boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
93,edge_texture_feature_093,feature_093_close_up_texture,Edge / Texture,close-up texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
94,edge_texture_feature_094,feature_094_wide_scene_texture,Edge / Texture,wide-scene texture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
95,edge_texture_feature_095,feature_095_camera_blur_region,Edge / Texture,camera blur region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
96,edge_texture_feature_096,feature_096_clear_focus_region,Edge / Texture,clear focus region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
97,edge_texture_feature_097,feature_097_visual_detail_cue,Edge / Texture,visual detail cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
98,edge_texture_feature_098,feature_098_texture_change_cue,Edge / Texture,texture change cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
99,edge_texture_feature_099,feature_099_edge_change_cue,Edge / Texture,edge change cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
100,edge_texture_feature_100,feature_100_shape_detail_cue,Edge / Texture,shape detail cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
101,edge_texture_feature_101,feature_101_pattern_complexity,Edge / Texture,pattern complexity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
102,edge_texture_feature_102,feature_102_pattern_simplicity,Edge / Texture,pattern simplicity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
103,edge_texture_feature_103,feature_103_repeated_background_line,Edge / Texture,repeated background line,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
104,edge_texture_feature_104,feature_104_repeated_foreground_line,Edge / Texture,repeated foreground line,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
105,edge_texture_feature_105,feature_105_body_edge_response,Edge / Texture,body-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
106,edge_texture_feature_106,feature_106_arm_edge_response,Edge / Texture,arm-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
107,edge_texture_feature_107,feature_107_leg_edge_response,Edge / Texture,leg-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
108,edge_texture_feature_108,feature_108_head_edge_response,Edge / Texture,head-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
109,edge_texture_feature_109,feature_109_object_edge_response,Edge / Texture,object-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
110,edge_texture_feature_110,feature_110_scene_edge_response,Edge / Texture,scene-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
111,edge_texture_feature_111,feature_111_crowd_edge_response,Edge / Texture,crowd-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
112,edge_texture_feature_112,feature_112_motion_edge_response,Edge / Texture,motion-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
113,edge_texture_feature_113,feature_113_static_edge_response,Edge / Texture,static-edge response,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
114,edge_texture_feature_114,feature_114_sharp_transition_cue,Edge / Texture,sharp transition cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
115,edge_texture_feature_115,feature_115_soft_transition_cue,Edge / Texture,soft transition cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
116,edge_texture_feature_116,feature_116_frame_quality_cue,Edge / Texture,frame quality cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
117,edge_texture_feature_117,feature_117_visual_boundary_cue,Edge / Texture,visual boundary cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
118,edge_texture_feature_118,feature_118_object_separation_cue,Edge / Texture,object separation cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
119,edge_texture_feature_119,feature_119_background_separation_cue,Edge / Texture,background separation cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
120,edge_texture_feature_120,feature_120_texture_contrast_cue,Edge / Texture,texture contrast cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
121,edge_texture_feature_121,feature_121_micro_pattern_cue,Edge / Texture,micro-pattern cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
122,edge_texture_feature_122,feature_122_macro_pattern_cue,Edge / Texture,macro-pattern cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
123,edge_texture_feature_123,feature_123_surface_detail_cue,Edge / Texture,surface-detail cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
124,edge_texture_feature_124,feature_124_line_orientation_cue,Edge / Texture,line-orientation cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
125,edge_texture_feature_125,feature_125_corner_density_cue,Edge / Texture,corner-density cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
126,edge_texture_feature_126,feature_126_contour_density_cue,Edge / Texture,contour-density cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
127,edge_texture_feature_127,feature_127_visual_structure_cue,Edge / Texture,visual structure cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
128,edge_texture_feature_128,feature_128_nan,Edge / Texture,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
129,object_body_feature_001,feature_129_person_pattern,Object / Body,person pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
130,object_body_feature_002,feature_130_face_pattern,Object / Body,face pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
131,object_body_feature_003,feature_131_head_cue,Object / Body,head cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
132,object_body_feature_004,feature_132_hand_cue,Object / Body,hand cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
133,object_body_feature_005,feature_133_arm_cue,Object / Body,arm cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
134,object_body_feature_006,feature_134_leg_cue,Object / Body,leg cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
135,object_body_feature_007,feature_135_body_posture,Object / Body,body posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
136,object_body_feature_008,feature_136_standing_posture,Object / Body,standing posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
137,object_body_feature_009,feature_137_sitting_posture,Object / Body,sitting posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
138,object_body_feature_010,feature_138_bending_posture,Object / Body,bending posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
139,object_body_feature_011,feature_139_falling_like_posture,Object / Body,falling-like posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
140,object_body_feature_012,feature_140_walking_pattern,Object / Body,walking pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
141,object_body_feature_013,feature_141_running_pattern,Object / Body,running pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
142,object_body_feature_014,feature_142_group_presence,Object / Body,group presence,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
143,object_body_feature_015,feature_143_multiple_people,Object / Body,multiple people,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
144,object_body_feature_016,feature_144_single_person,Object / Body,single person,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
145,object_body_feature_017,feature_145_human_interaction,Object / Body,human interaction,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
146,object_body_feature_018,feature_146_close_contact_cue,Object / Body,close-contact cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
147,object_body_feature_019,feature_147_object_shape,Object / Body,object shape,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
148,object_body_feature_020,feature_148_handheld_object_cue,Object / Body,handheld object cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
149,object_body_feature_021,feature_149_large_object_cue,Object / Body,large object cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
150,object_body_feature_022,feature_150_small_object_cue,Object / Body,small object cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
151,object_body_feature_023,feature_151_object_near_body,Object / Body,object near body,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
152,object_body_feature_024,feature_152_object_in_hand,Object / Body,object in hand,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
153,object_body_feature_025,feature_153_face_orientation,Object / Body,face orientation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
154,object_body_feature_026,feature_154_body_orientation,Object / Body,body orientation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
155,object_body_feature_027,feature_155_arm_movement,Object / Body,arm movement,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
156,object_body_feature_028,feature_156_hand_movement,Object / Body,hand movement,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
157,object_body_feature_029,feature_157_leg_movement,Object / Body,leg movement,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
158,object_body_feature_030,feature_158_upper_body_cue,Object / Body,upper body cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
159,object_body_feature_031,feature_159_lower_body_cue,Object / Body,lower body cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
160,object_body_feature_032,feature_160_shoulder_pattern,Object / Body,shoulder pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
161,object_body_feature_033,feature_161_torso_pattern,Object / Body,torso pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
162,object_body_feature_034,feature_162_crowd_body_pattern,Object / Body,crowd body pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
163,object_body_feature_035,feature_163_occluded_body,Object / Body,occluded body,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
164,object_body_feature_036,feature_164_overlapping_people,Object / Body,overlapping people,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
165,object_body_feature_037,feature_165_person_background_relation,Object / Body,person-background relation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
166,object_body_feature_038,feature_166_object_background_relation,Object / Body,object-background relation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
167,object_body_feature_039,feature_167_body_object_relation,Object / Body,body-object relation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
168,object_body_feature_040,feature_168_gesture_cue,Object / Body,gesture cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
169,object_body_feature_041,feature_169_pointing_like_cue,Object / Body,pointing-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
170,object_body_feature_042,feature_170_raised_hand_cue,Object / Body,raised-hand cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
171,object_body_feature_043,feature_171_pushing_like_cue,Object / Body,pushing-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
172,object_body_feature_044,feature_172_pulling_like_cue,Object / Body,pulling-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
173,object_body_feature_045,feature_173_holding_like_cue,Object / Body,holding-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
174,object_body_feature_046,feature_174_protective_posture,Object / Body,protective posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
175,object_body_feature_047,feature_175_aggressive_posture,Object / Body,aggressive posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
176,object_body_feature_048,feature_176_normal_posture,Object / Body,normal posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
177,object_body_feature_049,feature_177_abnormal_posture,Object / Body,abnormal posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
178,object_body_feature_050,feature_178_body_movement_context,Object / Body,body movement context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
179,object_body_feature_051,feature_179_face_region_cue,Object / Body,face-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
180,object_body_feature_052,feature_180_eye_region_cue,Object / Body,eye-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
181,object_body_feature_053,feature_181_mouth_region_cue,Object / Body,mouth-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
182,object_body_feature_054,feature_182_neck_region_cue,Object / Body,neck-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
183,object_body_feature_055,feature_183_elbow_region_cue,Object / Body,elbow-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
184,object_body_feature_056,feature_184_knee_region_cue,Object / Body,knee-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
185,object_body_feature_057,feature_185_foot_region_cue,Object / Body,foot-region cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
186,object_body_feature_058,feature_186_human_silhouette,Object / Body,human silhouette,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
187,object_body_feature_059,feature_187_side_body_view,Object / Body,side-body view,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
188,object_body_feature_060,feature_188_front_body_view,Object / Body,front-body view,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
189,object_body_feature_061,feature_189_back_body_view,Object / Body,back-body view,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
190,object_body_feature_062,feature_190_person_cluster,Object / Body,person cluster,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
191,object_body_feature_063,feature_191_body_distance_cue,Object / Body,body distance cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
192,object_body_feature_064,feature_192_body_angle_cue,Object / Body,body angle cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
193,object_body_feature_065,feature_193_person_proximity_cue,Object / Body,person proximity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
194,object_body_feature_066,feature_194_interaction_distance,Object / Body,interaction distance,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
195,object_body_feature_067,feature_195_object_proximity_cue,Object / Body,object proximity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
196,object_body_feature_068,feature_196_object_size_cue,Object / Body,object size cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
197,object_body_feature_069,feature_197_object_orientation_cue,Object / Body,object orientation cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
198,object_body_feature_070,feature_198_object_position_cue,Object / Body,object position cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
